Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t,t_cpu_avg,t_gpu_avg,t_transfers_avg
Sequential,-1,15.351319,15.305890,15.395041
Naive,32,0.793217,0.659671,1.177737,0.389812,0.308188,0.095209
Naive,48,0.888688,0.690185,1.247902,0.411801,0.380085,0.096794
Naive,64,0.771807,0.595538,1.100659,0.395581,0.283212,0.093004
Naive,128,0.769829,0.599245,1.089867,0.393443,0.283745,0.092632
Naive,238,0.791311,0.662194,1.131266,0.389982,0.305215,0.096104
Naive,512,0.771324,0.597087,1.114786,0.390786,0.284161,0.096368
Naive,1024,0.778401,0.604825,1.157413,0.388125,0.290557,0.099710
Transpose,32,0.648195,0.587664,0.787348,0.264541,0.306535,0.077112
Transpose,48,0.725357,0.662042,0.865768,0.262892,0.381361,0.081096
Transpose,64,0.628021,0.565305,0.768917,0.259881,0.287612,0.080520
Transpose,128,0.632646,0.569408,0.772455,0.266407,0.288735,0.077496
Transpose,238,0.665700,0.590089,0.828389,0.271185,0.314242,0.080265
Transpose,512,0.644499,0.570584,0.779272,0.276507,0.290111,0.077873
Transpose,1024,0.672837,0.601212,0.804295,0.272211,0.321690,0.078928
Shmem,32,0.640904,0.567947,0.771863,0.242148,0.320703,0.078045
Shmem,48,0.735505,0.663135,0.866546,0.239846,0.415715,0.079937
Shmem,64,0.624784,0.560275,0.755220,0.236736,0.314598,0.073443
Shmem,128,0.623122,0.559195,0.762304,0.232965,0.311225,0.078924
Shmem,238,0.642426,0.580612,0.784198,0.227232,0.334672,0.080514
Shmem,512,0.632382,0.559703,0.762791,0.245205,0.311157,0.076012
Shmem,1024,0.622886,0.563153,0.759941,0.229820,0.312612,0.080447
All_GPU,32,0.349536,0.322478,0.335852,0.000000,0.323800,0.000022
All_GPU,48,0.441162,0.416005,0.416792,0.000000,0.416103,0.000024
All_GPU,64,0.337555,0.311827,0.312585,0.000000,0.311887,0.000023
All_GPU,128,0.336647,0.311552,0.311826,0.000000,0.311583,0.000022
All_GPU,238,0.360251,0.334957,0.335230,0.000000,0.334992,0.000023
All_GPU,512,0.336650,0.311470,0.311994,0.000000,0.311521,0.000021
All_GPU,1024,0.338629,0.312888,0.330407,0.000000,0.314690,0.000022
